
Graph 1:
50 142 20
0 19 15
0 48 5
0 3 14
1 26 14
2 47 -1
2 12 12
2 37 18
2 45 16
2 8 8
3 21 5
3 44 -3
3 10 16
3 31 10
3 43 -6
4 43 4
5 45 -9
5 31 11
5 47 18
5 16 5
6 32 14
6 19 -5
7 21 -6
8 3 12
8 45 1
8 33 6
9 2 19
9 3 10
9 43 -2
9 6 2
10 36 16
11 1 9
11 40 -4
12 14 14
13 3 9
13 29 1
13 5 3
13 32 7
13 35 20
14 18 9
14 45 -5
14 39 16
14 21 15
14 37 11
15 21 20
15 2 6
16 33 -1
16 12 18
16 38 15
16 2 -4
16 36 20
17 18 -4
17 10 6
17 7 20
17 8 17
18 14 2
19 47 15
19 24 14
20 38 6
20 12 7
20 13 13
21 12 14
22 42 2
22 21 -5
22 27 17
23 43 12
23 29 -7
23 46 -10
23 9 11
24 32 6
24 8 -6
24 16 -1
24 49 17
25 1 -9
26 8 -10
26 2 -3
26 30 4
26 24 5
26 7 18
27 31 10
28 10 -1
29 10 15
29 25 2
29 45 18
29 22 -10
30 7 20
31 34 1
31 43 12
31 12 7
31 44 -9
32 12 -5
33 4 15
33 34 0
33 30 -4
33 28 -1
34 36 3
34 1 12
34 30 -2
34 26 16
34 33 14
35 2 5
35 32 8
35 37 12
35 47 -6
35 10 12
37 22 5
37 42 7
37 35 -4
38 5 -7
39 45 10
39 4 -1
39 40 11
39 11 3
40 38 -5
40 0 9
40 14 -5
41 8 -3
41 17 16
41 15 -4
41 47 11
42 47 3
42 41 -2
42 29 8
42 15 18
43 21 4
43 14 0
44 38 3
44 9 1
45 43 5
46 31 15
46 9 -1
46 27 -1
47 24 -7
47 34 13
47 30 -7
47 40 -3
47 28 18
48 9 18
48 18 8
49 30 -7
49 31 9
49 22 -4
49 4 -4


########################################

Graph 2:
50 168 0
0 42 20
0 43 13
0 24 -3
0 46 -4
0 9 16
1 0 -6
1 37 -3
1 31 14
1 10 -9
1 42 17
2 42 18
2 17 -7
2 46 2
2 27 7
2 33 -10
3 34 11
4 8 4
4 5 9
4 43 8
4 25 7
5 19 1
5 37 1
6 25 -6
6 3 -2
7 5 16
7 1 7
8 45 -9
8 28 16
8 20 2
8 11 -4
9 20 2
9 18 3
9 28 9
9 33 5
10 41 -1
11 24 13
11 12 12
