50-node
50 153
1 2 56
1 3 78
2 5 23
2 6 41
3 4 12
3 7 87
4 8 34
5 9 50
6 10 19
7 11 73
8 12 64
9 13 22
10 14 11
11 15 90
12 16 30
13 17 25
14 18 80
15 19 45
16 20 67
17 21 39
18 22 71
19 23 55
20 24 33
21 25 42
22 26 28
23 27 49
24 28 61
25 29 17
26 30 76
27 31 59
28 32 38
29 33 81
30 34 44
31 35 66
32 36 14
33 37 53
34 38 48
35 39 36
36 40 29
37 41 84
38 42 21
39 43 37
40 44 65
41 45 18
42 46 27
43 47 70
44 48 15
45 49 26
46 50 35
47 1 52
48 2 40
49 3 32
50 4 43
1 5 60
2 6 34
3 7 79
4 8 58
5 9 22
6 10 30
7 11 12
8 12 81
9 13 46
10 14 17
11 15 63
12 16 24
13 17 41
14 18 50
15 19 72
16 20 28
17 21 69
18 22 37
19 23 56
20 24 39
21 25 33
22 26 77
23 27 14
24 28 88
25 29 20
26 30 55
27 31 48
28 32 62
29 33 18
30 34 51
31 35 44
32 36 35
33 37 27
34 38 70
35 39 41
36 40 60
37 41 32
38 42 49
39 43 29
40 44 54
41 45 36
42 46 22
43 47 45
44 48 39
45 49 31
46 50 57
47 1 19
48 2 64
49 3 38
50 4 47
1 6 53
2 7 26
3 8 63
4 9 48
5 10 20
6 11 55
7 12 34
8 13 41
9 14 72
10 15 36
11 16 59
12 17 30
13 18 21
14 19 74
15 20 46
16 21 18
17 22 38
18 23 61
19 24 33
20 25 47
21 26 50
22 27 28
23 28 40
24 29 65
25 30 27
26 31 35
27 32 43
28 33 49
29 34 37
30 35 71
31 36 12
32 37 59
33 38 24
34 39 52
35 40 33
36 41 18
37 42 45
38 43 60
39 44 39
40 45 22
41 46 41
42 47 48
43 48 31
44 49 50
45 50 29
46 1 61
47 2 21
48 3 33
49 4 57
50 5 14
1 50
119

examples:
4 5
1 2 8
1 3 8
2 3 1
2 4 8
3 4 8
1 4
16

5 7
1 3 5
1 4 3
3 4 2
4 2 6
3 2 3
3 5 99
2 5 99
1 5
8

8 15
1 2 10
1 4 15
1 3 5
2 3 4
3 4 4
3 6 8
2 6 15
2 5 9
4 7 16
7 3 6
5 6 15
6 7 15
7 8 10
6 8 10
5 8 10
1 8
28

10 16
1 2 5
1 3 8
1 10 7
1 4 3
1 5 5
1 6 7
2 10 4
3 10 9
4 7 1
5 8 4
6 9 6
6 7 1
6 8 2
7 10 1
8 10 6
9 10 5
1 10
31

6 7
1 2 1
1 3 3
2 4 99
2 5 99
3 5 99
4 6 2
5 6 2
1 6
3

10 14
1 2 1
1 3 1
1 4 1
1 5 1
2 6 1
2 7 1
3 6 1
3 7 1
4 8 1
5 8 1
8 10 1
6 9 1
7 9 1
9 10 1
1 10
2

8 9
1 2 1
2 3 1
3 4 1
1 4 1
4 5 1
5 6 1
6 7 1
7 8 1
5 8 1
1 8
1
